0, 1, 3
0, 2, 5
0, 3, 9
0, 4, 2
0, 5, 5
0, 6, 8
0, 7, 8
0, 8, 8
0, 9, 3
0, 10, 4
0, 11, 1
0, 12, 3
0, 13, 9
0, 14, 1
0, 15, 9
0, 16, 7
0, 17, 5
0, 18, 10
0, 19, 4
0, 20, 3
0, 21, 3
0, 22, 1
0, 23, 5
0, 24, 1
0, 25, 1
0, 26, 4
0, 27, 10
0, 28, 5
0, 29, 7
0, 30, 8
0, 31, 8
0, 32, 1
0, 33, 7
0, 34, 10
0, 35, 8
0, 36, 7
0, 37, 7
0, 38, 4
0, 39, 7
0, 40, 7
0, 41, 3
0, 42, 10
0, 43, 9
0, 44, 7
0, 45, 4
0, 46, 5
0, 47, 2
0, 48, 10
0, 49, 10
0, 50, 3
0, 51, 1
0, 52, 7
0, 53, 4
0, 54, 10
0, 55, 7
0, 56, 6
0, 57, 4
0, 58, 9
0, 59, 9
0, 60, 6
0, 61, 10
0, 62, 7
0, 63, 3
0, 64, 10
0, 65, 5
0, 66, 2
0, 67, 3
0, 68, 3
0, 69, 9
0, 70, 10
0, 71, 5
0, 72, 2
0, 73, 9
0, 74, 7
0, 75, 9
0, 76, 5
0, 77, 9
0, 78, 5
0, 79, 3
0, 80, 9
0, 81, 3
0, 82, 10
0, 83, 1
0, 84, 6
0, 85, 5
0, 86, 3
0, 87, 4
0, 88, 1
0, 89, 6
0, 90, 1
0, 91, 5
0, 92, 10
0, 93, 5
0, 94, 3
0, 95, 2
0, 96, 8
0, 97, 7
0, 98, 6
0, 99, 3
1, 2, 6
1, 3, 5
1, 4, 7
1, 5, 3
1, 6, 4
1, 7, 6
1, 8, 6
1, 9, 8
1, 10, 4
1, 11, 2
1, 12, 7
1, 13, 5
1, 14, 10
1, 15, 6
1, 16, 4
1, 17, 6
1, 18, 8
1, 19, 1
1, 20, 5
1, 21, 1
1, 22, 5
1, 23, 9
1, 24, 3
1, 25, 3
1, 26, 7
1, 27, 2
1, 28, 2
1, 29, 10
1, 30, 1
1, 31, 10
1, 32, 4
1, 33, 1
1, 34, 10
1, 35, 5
1, 36, 6
1, 37, 8
1, 38, 9
1, 39, 9
1, 40, 10
1, 41, 5
1, 42, 10
1, 43, 4
1, 44, 7
1, 45, 5
1, 46, 8
1, 47, 8
1, 48, 9
1, 49, 10
1, 50, 8
1, 51, 7
1, 52, 8
1, 53, 2
1, 54, 5
1, 55, 5
1, 56, 7
1, 57, 4
1, 58, 8
1, 59, 4
1, 60, 5
1, 61, 7
1, 62, 10
1, 63, 9
1, 64, 6
1, 65, 3
1, 66, 2
1, 67, 3
1, 68, 2
1, 69, 4
